,address,postcode,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,price,predicted_price
287435,"27854 E 8th Avenue, Aurora, CO 80018",80018.0,39.72843,-104.66268,4,4,301,2123,565000,939312
324551,"2333 Sky Crest St, Corpus Christi, TX 78418",78418.0,27.65535,-97.30993,5,3,189,1793,291900,364654
593300,"2401 W Balmoral Ave APT 2E, Chicago, IL 60625",60625.0,41.97935,-87.68978,2,2,133,1000,99900,129099
302796,"7102 Gaustavino Ct, Austin, TX 78744",78744.0,30.15897,-97.72673,4,4,260,2192,505940,938207
541914,"The Mariah Plan, Reserve at Woodside Ridge",64081.0,38.920425,-94.41384,5,5,178,3350,553300,1193482
521926,"921 S Pickwick Ave, Springfield, MO 65804",65804.0,37.197678,-93.27022,4,3,131,2456,289500,489742
449859,"21466 E 1020th Rd, Foss, OK 73647",73647.0,35.5372,-99.16164,6,5,75,5515,397500,2015538
212546,"15650 N 109th Ave, Sun City, AZ 85351",85351.0,33.627354,-112.29426,3,3,290,1903,480000,830272
280315,"9323 Welby Road Terrace, Thornton, CO 80229",80229.0,39.866867,-104.94701,4,3,285,1650,400000,493427
575378,"3843 S Langley Ave #301, Chicago, IL 60653",60653.0,41.82451,-87.60933,3,3,195,1350,215000,134516
268739,"1625 E Routt Ave, Pueblo, CO 81004",81004.0,38.237915,-104.616394,3,3,69,2986,190000,1128805
10822,"1607 Fruitvale Blvd, Yakima, WA 98902",98902.0,46.612885,-120.53135,3,2,165,1244,165000,587308
218792,"25048 W Illini St, Buckeye, AZ 85326",85326.0,33.412296,-112.58975,5,4,180,2686,440000,1104035
231009,"13221 N Victor Hugo Ave, Phoenix, AZ 85032",85032.0,33.60697,-112.02602,5,4,349,2482,779900,1025339
305865,"3901 Gyrfalcon Cv, Bee Cave, TX 78738",78738.0,30.321444,-97.96184,4,5,268,3041,750000,1522338
282184,"15226 W Iliff Avenue, Lakewood, CO 80228",80228.0,39.673405,-105.17119,6,6,282,4905,1315000,2212241
178846,"518 Pablo Rd, Round Mountain, NV 89045",89045.0,38.78397,-117.16935,3,3,66,1230,65000,664794
